"MST.nummer";"Unikt.prøvesæt.nummer";"Noter.på.plastic.posen";"Konc.målt.på.Qubit._ng.uL";"Dato.for.ekstraktion";"Ekstraktionsnummer";"Noter2";"Elueringvolumen.AE.buffer.uL";"Sub_Nmb_for_extraction";"Dato_for_indsml";"X.Noter2";"U_Pr_Nr";"MSTno_di";"wdt"
"96";"MST0124";"20180525-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-05-25";NA;"MST0124";"MST0124::2018-05-25";FALSE
"97";"MST0126";"20180525-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-05-25";NA;"MST0126";"MST0126::2018-05-25";FALSE
"461";"MST0127";"6";NA;"1.46";"2021-mar-05";"MST-SX19";NA;"350";"19_06";"#N/A-NA-#N/A";NA;"MST0127";"MST0127::#N/A-NA-#N/A";FALSE
"98";"MST0127";"20180807-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-08-07";NA;"MST0127";"MST0127::2018-08-07";FALSE
"99";"MST0128";"20180807-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-08-07";NA;"MST0128";"MST0128::2018-08-07";FALSE
"217";"MST0129";"1";NA;"4.02";"2020-jun-30";"MST-SX08";NA;"350";"08_01";"2019-06-28";NA;"MST0129";"MST0129::2019-06-28";FALSE
"100";"MST0131";"20171010-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-10-10";NA;"MST0131";"MST0131::2017-10-10";FALSE
"101";"MST0132";"20180627-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-06-27";NA;"MST0132";"MST0132::2018-06-27";FALSE
"102";"MST0133";"20171010-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2017-10-10";NA;"MST0133";"MST0133::2017-10-10";FALSE
"103";"MST0136";"20180627-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-06-27";NA;"MST0136";"MST0136::2018-06-27";TRUE
"104";"MST0137";"20171010-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2017-10-10";NA;"MST0137";"MST0137::2017-10-10";FALSE
"462";"MST0138";"7";NA;"7.8";"2021-mar-05";"MST-SX19";NA;"350";"19_07";"#N/A-NA-#N/A";NA;"MST0138";"MST0138::#N/A-NA-#N/A";FALSE
"105";"MST0138";"20180816-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-08-16";NA;"MST0138";"MST0138::2018-08-16";FALSE
"300";"MST0139";"3";NA;"7.2";"2020-sep-15";"MST-SX11";NA;"350";"11_03";"#N/A-NA-#N/A";NA;"MST0139";"MST0139::#N/A-NA-#N/A";FALSE
"106";"MST0141";"20180816-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-08-16";NA;"MST0141";"MST0141::2018-08-16";FALSE
"398";"MST0142";"2";NA;"5.25";"2020-nov-17";"MST-SX16";NA;"350";"16_02";"#N/A-NA-#N/A";NA;"MST0142";"MST0142::#N/A-NA-#N/A";FALSE
"107";"MST0143";"20180816-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-08-16";NA;"MST0143";"MST0143::2018-08-16";FALSE
"201";"MST0144";"1";NA;"21.4";"2020-jun-26";"MST-SX07";NA;"350";"07_01";"#N/A-NA-#N/A";NA;"MST0144";"MST0144::#N/A-NA-#N/A";FALSE
"481";"MST0147";"1";NA;"14.6";"2021-mar-31";"MST-SX20";NA;"350";"20_01";"#N/A-NA-#N/A";NA;"MST0147";"MST0147::#N/A-NA-#N/A";FALSE
"268";"MST0148";"3";NA;"6.15";"2020-sep-08";"MST-SX10";NA;"350";"10_03";"#N/A-NA-#N/A";NA;"MST0148";"MST0148::#N/A-NA-#N/A";FALSE
