"MST.nummer";"dato indsamlet";"lokalitet_vanda";"volumen vand filtreret (mL)";"breddegrad";"længdegrad"
"MST2021002_2022-05-02";"2022-05-02";97200002;"1500";55.8667;12.75
"MST2021003_2022-05-03";"2022-05-03";93000001;"1500";57.5;11.1606
"MST2021007_2022-05-03";"2022-05-03";91320001;"850";56.0778;8.2168
"MST2021016_2022-05-04";"2022-05-04";96220322;"1500";57.4095;11.1606
"MST2022064_2022-05-05";"2022-05-05";95600002;"1500";56.4183;10.1673
"MST2021013_2022-05-06";"2022-05-06";93000005;"1550";57.46;10.7951
"MST2021012_2022-05-09";"2022-05-09";96510125;"1000";56.2867;10.4229
"MST2021028_2022-05-09";"2022-05-09";91500007;"1500";55.3398;8.3358
"MST2022050_2022-05-10";"2022-05-10";93740007;"1500";57.0333;9.0819
"MST2022076_2022-05-11";"2022-05-11";93730002;"1420";57.3817;9.0709
"MST2022054_2022-05-11";"2022-05-11";99000052;"1500";55.025;13.3106
"MST2022055_2022-05-12";"2022-05-12";93610032;"1760";57.9167;9.9783
"MST2022087_2022-05-17";"2022-05-17";94400007;"1500";56.6233;10.3201
"MST2022045_2022-06-10";"2022-06-10";99150002;"1450";55.0153;14.9
"MST2022047_2022-06-20";"2022-06-20";94230001;"1150";55.4678;10.5169
"MST2022042_2022-06-22";"2022-06-22";93220011;"ukendt";55.713;12.04
"MST0442_2022-06-24";"2022-06-24";92200001;"1700";57.6078;9.9003
"MST2022034_2022-06-29";"2022-06-29";96250162;"1200";54.8627;11.7352
"MST0454_2022-07-04";"2022-07-04";93920064;"1500";57.5408;10.4688
"MST2021006_2022-07-11";"2022-07-11";94300001;"1550";56.4447;10.0954
"MST2022056_2022-08-01";"2022-08-01";94300001;"1500";56.4383;10.0951
"MST1011_2022-08-02";"2022-08-02";96220363;"1500";55.1575;11.6356
"MST2022066_2022-08-03";"2022-08-03";99000052;"1400";55.025;13.3106
"MST2021025_2022-08-04";"2022-08-04";97200002;"1600";55.8883;12.7583
"MST2022080_2022-08-05";"2022-08-05";93000001;"1500";57.565;11.1627
"MST2022081_2022-08-08";"2022-08-08";95600002;"1500";56.435;10.1668
"MST2022073_2022-08-09";"2022-08-09";93740007;"1100";57.0333;9.0819
"MST2022053_2022-08-10";"2022-08-10";93730002;"850";57.35;9.0708
"MST2022093_2022-08-10";"2022-08-10";93000005;"1250";57.46;10.7951
"MST2022069_2022-08-11";"2022-08-11";94400007;"1450";56.6233;10.3201
"MST2022060_2022-08-11";"2022-08-11";99000049;"1500";55.2683;15.9935
"MST2022032_2022-08-18";"2022-08-18";96420199;"1500";54.9367;11.0333
"MST1040_2022-08-22";"2022-08-22";91320001;"ukendt";56.0771;8.2182
"MST2022088_2022-08-23";"2022-08-23";93610032;"750";57.9167;9.9783
"MST2022104_2022-08-29";"2022-08-29";94230001;"1000";55.4678;10.5169
"MST2022086_2022-09-21";"2022-09-21";91500007;"1200";55.3375;8.35
