"MST.nummer";"dato indsamlet";"lokalitet_vanda";"latinsk artsnavn";"sæson";"år"
"MST2021064_2021-09-02";"2021-09-02";93730002;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021070_2021-10-26";"2021-10-26";93610032;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021071_2021-10-13";"2021-10-13";94230001;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021076_2021-09-02";"2021-09-02";99000052;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021079_2021-09-06";"2021-09-06";93740007;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021081_2021-09-20";"2021-09-20";91500007;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021082_2021-09-07";"2021-09-07";93000005;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021083_2021-10-22";"2021-10-22";95600002;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021085_2021-09-16";"2021-09-16";93000001;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021099_2021-08-24";"2021-08-24";94400007;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST0442_2022-06-24";"2022-06-24";92200001;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST0454_2022-07-04";"2022-07-04";93920064;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST2021006_2022-07-11";"2022-07-11";94300001;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST2021019_2022-04-29";"2022-04-29";90000961;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST2021023_2022-04-28";"2022-04-28";91650035;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST2021028_2022-05-09";"2022-05-09";91500007;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST2022034_2022-06-29";"2022-06-29";96250162;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST2022050_2022-05-10";"2022-05-10";93740007;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST2022087_2022-05-17";"2022-05-17";94400007;"Mnemiopsis leidyi";"jan-jun";"2022"
"MST1011_2022-08-02";"2022-08-02";96220363;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST1040_2022-08-22";"2022-08-22";91320001;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2021025_2022-08-04";"2022-08-04";97200002;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022032_2022-08-18";"2022-08-18";96420199;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022035_2022-09-27";"2022-09-27";92200001;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022039_2022-10-18";"2022-10-18";93410108;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022040_2022-10-20";"2022-10-20";97230016;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022053_2022-08-10";"2022-08-10";93730002;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022056_2022-08-01";"2022-08-01";94300001;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022060_2022-08-11";"2022-08-11";99000049;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022066_2022-08-03";"2022-08-03";99000052;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022069_2022-08-11";"2022-08-11";94400007;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022073_2022-08-09";"2022-08-09";93740007;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022080_2022-08-05";"2022-08-05";93000001;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022081_2022-08-08";"2022-08-08";95600002;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022086_2022-09-21";"2022-09-21";91500007;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST2022093_2022-08-10";"2022-08-10";93000005;"Mnemiopsis leidyi";"jul-nov";"2022"
