ScientificName;AphiaID;Synonym;SynonymID;Kingdom;Phylum;Class;Order;Family;Genus;locality;locationID;higherGeography;higherGeographyID;recordStatus;typeStatus;establishmentMeans;decimalLatitude;decimalLongitude;qualityStatus
Prionospio dubia;131155;Prionospio dubia;131155;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio ehlersi;131156;Prionospio ehlersi;131156;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio fallax;131157;Prionospio fallax;131157;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio fauchaldi;131158;Prionospio fauchaldi;131158;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio heterobranchia;157543;Prionospio heterobranchia;157543;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio malmgreni;131159;Prionospio malmgreni;131159;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio malmgreni;131159;Prionospio malmgreni;131159;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Banc d'Arguin;http://marineregions.org/mrgid/5071;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio multibranchiata;131160;Prionospio multibranchiata;131160;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio multibranchiata;131160;Prionospio multibranchiata;131160;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;unreviewed
Prionospio multibranchiata;131160;Prionospio multibranchiata;131160;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;North East Atlantic;http://marineregions.org/mrgid/5664;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio multibranchiata;131160;Prionospio multibranchiata;131160;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Kattegat;http://marineregions.org/mrgid/2374;Kattegat;http://marineregions.org/mrgid/2374;valid;NA;NA;NA;NA;unreviewed
Prionospio multibranchiata;131160;Prionospio multibranchiata;131160;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Skagerrak;http://marineregions.org/mrgid/2379;Skagerrak;http://marineregions.org/mrgid/2379;valid;NA;NA;NA;NA;unreviewed
Prionospio multibranchiata;131160;Prionospio multibranchiata;131160;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Wimereux;http://marineregions.org/mrgid/979;France;http://marineregions.org/mrgid/17;doubtful;NA;NA;NA;NA;unreviewed
Prionospio multibranchiata;131160;Prionospio multibranchiata;131160;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;doubtful;NA;NA;NA;NA;unreviewed
