"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"94","MST505","LASOJ","Slikkrebsen","Sydjylland","2019-04-02","LISD0027",55.0933,8.56669722222222,2.9,1,400,"nej",NA,"2019-04-02","8.3","ja","ja","Bundfauna","ja","ja",NA,"5505.598","55DEGR_05MINUT_35.88SECONDS","834.11","008DEGR_34MINUT_0.11SECONDS","14:50","15:46","15:55",NA
"95","MST489","LASOJ","Slikkrebsen","Sydjylland","2019-04-02","LISD0027",55.0933,8.56669722222222,2.9,1,400,"nej",NA,"2019-04-02","8.3","ja","ja","Bundfauna","ja","ja",NA,"5505.598","55DEGR_05MINUT_35.88SECONDS","834.11","008DEGR_34MINUT_0.11SECONDS","14:50","15:10","15:11",NA
"96","MST423","LASOJ","Slikkrebsen","Sydjylland","2019-04-02","LISD0027",55.0933,8.56669722222222,2.9,1,450,"nej",NA,"2019-04-02","8.3","ja","ja","Bundfauna","ja","ja",NA,"5505.598","55DEGR_05MINUT_35.88SECONDS","834.11","008DEGR_34MINUT_0.11SECONDS","14:50","15:30","15:35",NA
"97","MST269","GEPED","Musling","oestjylland","2019-03-12","HevringbugtHB01",57.6178166666667,10.5334777777778,12,10.6,1350,"ja","8.1999999999999993","2019-03-14","4.98","ja","ja","Bundfauna","ja","ja",NA,"57o37,069","57DEGR_37MINUT_4.14SECONDS","10o32,052","010DEGR_32MINUT_0.52SECONDS","14:36","15:23","15:26",NA
"98","MST254","GEPED","Musling","oestjylland","2019-03-12","HevringbugtHB01",57.6178166666667,10.5334777777778,12,10.6,1350,"ja","8.1999999999999993","2019-03-14","4.98","ja","ja","Bundfauna","ja","ja",NA,"57o37,069","57DEGR_37MINUT_4.14SECONDS","10o32,052","010DEGR_32MINUT_0.52SECONDS","14:36","15:44","15:48",NA
"99","MST239","GEPED","Musling","oestjylland","2019-03-12","HevringbugtHB01",57.6178166666667,10.5334777777778,12,10.6,1300,"ja","8.1999999999999993","2019-03-14","4.98","ja","ja","Bundfauna","ja","ja",NA,"57o37,069","57DEGR_37MINUT_4.14SECONDS","10o32,052","010DEGR_32MINUT_0.52SECONDS","14:36","16:02","16:06",NA
"100","MST153","GEPED","Musling","Nordjylland","2019-05-13","LoegstoerbredningVIB3708_1",57.9565833333333,9.052075,7.3,1,1700,"nej",NA,"2019-05-13","10.8","ja","ja","Plankton","ja","ja",NA,"57o57,395","57DEGR_57MINUT_23.7SECONDS","009o03,747","009DEGR_03MINUT_7.47SECONDS","11:55","12:34","12:39",NA
"101","MST163","GEPED","Musling","Nordjylland","2019-05-13","LoegstoerbredningVIB3708_1",57.9565833333333,9.052075,7.3,1,1700,"nej",NA,"2019-05-13","10.8","ja","ja","Plankton","ja","ja",NA,"57o57,395","57DEGR_57MINUT_23.7SECONDS","009o03,747","009DEGR_03MINUT_7.47SECONDS","11:55","12:52","12:54",NA
"102","MST164","GEPED","Musling","Nordjylland","2019-05-13","LoegstoerbredningVIB3708_1",57.9565833333333,9.052075,7.3,1,1625,"nej",NA,"2019-05-13","10.8","ja","ja","Plankton","ja","ja",NA,"57o57,395","57DEGR_57MINUT_23.7SECONDS","009o03,747","009DEGR_03MINUT_7.47SECONDS","11:55","13:09","13:11",NA
"103","MST170","JOCTH","Musling","Midtjylland","2019-05-14","SkivefjordVIB3727_1",57.370125,9.068025,4.7,1,1600,"ja","3.6","2019-05-14","11","ja","ja","Plankton","ja","ja",NA,"57o37.243","57DEGR_22MINUT_12.45SECONDS","009o04,489","009DEGR_04MINUT_4.89SECONDS","09:03","09:26","09:30",NA
"104","MST165","JOCTH","Musling","Midtjylland","2019-05-14","SkivefjordVIB3727_1",57.370125,9.068025,4.7,1,1400,"ja","3.6","2019-05-14","11","ja","ja","Plankton","ja","ja",NA,"57o37.243","57DEGR_22MINUT_12.45SECONDS","009o04,489","009DEGR_04MINUT_4.89SECONDS","09:03","09:54","09:57",NA
