"ScientificName";"AphiaID";"Synonym";"SynonymID";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"locality";"locationID";"higherGeography";"higherGeographyID";"recordStatus";"typeStatus";"establishmentMeans";"decimalLatitude";"decimalLongitude";"qualityStatus"
"Dosinia auberti";507606;"Dosinia auberti";507606;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia azuana";1495747;"Dosinia azuana";1495747;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Dominican Republic";"http://marineregions.org/mrgid/8640";;;"valid";"holotype";"Native";;;"checked"
"Dosinia bartrumi";832598;"Dosinia bartrumi";832598;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia becki";539471;"Dosinia becki";539471;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Port Alfred";"http://marineregions.org/mrgid/9180";;;"valid";"holotype";;;;"checked"
"Dosinia benereparata";832599;"Dosinia benereparata";832599;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia bensoni";832600;"Dosinia bensoni";832600;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia bertini";539472;"Dosinia bertini";539472;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia bilunulata";507562;"Dosinia bilunulata";507562;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia biscocta";539473;"Dosinia biscocta";539473;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia biscocta";507579;"Dosinia biscocta";507579;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia brevilunulata";539475;"Dosinia brevilunulata";539475;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia caelata";507580;"Dosinia caelata";507580;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia caerulea";507581;"Dosinia caerulea";507581;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia carpentariana";507625;"Dosinia carpentariana";507625;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia castigata";832591;"Dosinia castigata";832591;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia ceylonica";539477;"Dosinia ceylonica";539477;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia chathamensis";832592;"Dosinia chathamensis";832592;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia cingulifera";507631;"Dosinia cingulifera";507631;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia circinaria";539478;"Dosinia circinaria";539478;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia complanata";748511;"Dosinia complanata";748511;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia conglobata";507633;"Dosinia conglobata";507633;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia contracta";507570;"Dosinia contracta";507570;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia contusa";539480;"Dosinia contusa";539480;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia contusa";507582;"Dosinia contusa";507582;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia corculum";539481;"Dosinia corculum";539481;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia corrugata";507583;"Dosinia corrugata";507583;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia cottoni";832593;"Dosinia cottoni";832593;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia cretacea";539483;"Dosinia cretacea";539483;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia cretacea";507584;"Dosinia cretacea";507584;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia cruda";539484;"Dosinia cruda";539484;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia cumingii";507585;"Dosinia cumingii";507585;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia cunninghami";507624;"Dosinia cunninghami";507624;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia dautzenbergi";507607;"Dosinia dautzenbergi";507607;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia densicosta";832594;"Dosinia densicosta";832594;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia derupta";539487;"Dosinia derupta";539487;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia deshayesii";507594;"Dosinia deshayesii";507594;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia dilecta";507595;"Dosinia dilecta";507595;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Malacca Strait";"http://marineregions.org/mrgid/21965";;;"valid";"holotype";;;;"checked"
"Dosinia discus";156070;"Dosinia discus";156070;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"North West Atlantic";"http://marineregions.org/mrgid/7135";"North Atlantic Ocean";"http://marineregions.org/mrgid/1912";"valid";;;;;"unreviewed"
